ExperimentName	DisplayRunNumber	HCPID	Subject	Session	RandomSeed	Group	Display.RefreshRate	triggercode	Allowed	Target	Nontarget	FontStyle	ACC_2_Back_Face	Avg_RT_For_Correct_Trials_2_Back_Face	ACC_0_Back_Face	Avg_RT_For_Correct_Trials_0_Back_Face	ACC_2_Back_Tools	Avg_RT_For_Correct_Trials_2_Back_Tools	ACC_0_Back_Tools	Avg_RT_For_Correct_Trials_0_Back_Tools	FeelFreeToRest.OnsetDelay	FeelFreeToRest.OnsetTime	FeelFreeToRest.DurationError	FeelFreeToRest.StartTime	MasterList	Procedure[Block]	Stimulus[Block]	BlockNumber	MasterList.Cycle	MasterList.Sample	Running[Block]	IntroButtonMap.OnsetDelay	IntroButtonMap.OnsetTime	IntroButtonMap.DurationError	GetReady.OnsetDelay	GetReady.OnsetTime	GetReady.DurationError	CueTarget.OnsetDelay	CueTarget.OnsetTime	CueTarget.DurationError	Run1Block1	TargetType	CorrectResponse	StimType	BlockType	Stim.OnsetDelay	Stim.OnsetTime	Stim.DurationError	Stim.RTTime	Stim.ACC	Stim.RT	Stim.RESP	Stim.CRESP	Fix.OnsetDelay	Fix.OnsetTime	Fix.DurationError	Cue2Back.OnsetDelay	Cue2Back.OnsetTime	Cue2Back.DurationError	Run1Block2	Fix15sec.OnsetDelay	Fix15sec.OnsetTime	Fix15sec.DurationError	Run1Block3	Run1Block4	Run1Block5	Run1Block6	Run1Block7	Run1Block8	Run2Block1	Run2Block2	Run2Block3	Run2Block4	Run2Block5	Run2Block6	Run2Block7	Run2Block8	Block	Procedure[Trial]	Stimulus[Trial]	ReadyList	Running[Trial]	ReadyList.Cycle	ReadyList.Sample	SyncSlide.OnsetDelay	SyncSlide.OnsetTime	SyncSlide.DurationError	SyncSlide.FinishTime	Trial
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_008_TOOL8_BA.png	3	1	29	MasterList											nontarget	8	Tools	0-Back	-5	159700	5	160661	1	961	8	8	-5	161700	5								4														29											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_011_TOOL11_BA.png	3	1	30	MasterList											lure	8	Tools	0-Back	-5	162200	5	163133	1	933	8	8	-5	164200	5								5														30											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_009_TOOL9_BA.png	3	1	31	MasterList											nontarget	8	Tools	0-Back	-5	164700	5	165508	1	808	8	8	-5	166700	5								6														31											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_009_TOOL9_BA.png	3	1	32	MasterList											lure	8	Tools	0-Back	-5	167200	5	168021	1	821	8	8	-5	169200	5								7														32											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_008_TOOL8_BA.png	3	1	33	MasterList											lure	8	Tools	0-Back	-5	169700	5	170797	1	1097	8	8	10	171715	-10								8														33											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_007_TOOL7_BA.png	3	1	34	MasterList											target	7	Tools	0-Back	10	172215	-10	172877	1	662	7	7	10	174215	-10								9														34											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	8	TrialsPROC	TO_012_TOOL12_BA.png	3	1	35	MasterList											nontarget	8	Tools	0-Back	10	174715	-10	175581	1	866	8	8	10	176715	-10								10														35											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	9	Cue0BackPROC	FC_008_F4.png	4	1	36	MasterList							10	177215	-10																																						36											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	10	TrialsPROC	FC_009_M5.png	4	1	37	MasterList											nontarget	8	Face	0-Back	10	179715	-10	180533	1	818	8	8	10	181715	-10									1													37											
MEG_WorkMem_Only_Faces_and_Tools_Feb2013_Run1of2	1	CP100307	1	1	-1891132136	1	60.003	7	{ANY}	7	8	Verdana	0.9	937.527777777778	1	754.875	0.875	946.514285714286	0.95	785.973684210526	3	639708	-999999	639607	10	TrialsPROC	FC_009_M5.png	4	1	38	MasterList											lure	8	Face	0-Back	10	182215	-10	183093	1	878	8	8	10	184215	-10									2													38											
